20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
19.999993,20.000031,19.999971,19.999964,20.000012,20.000021,20.000003,19.999994,20.000029,20.000037,19.999987,20.000031,20.000035,20.000008,19.99996,19.999989,19.999982,20.000008,20.000008,20.000012,20.0,20.000003,20.000001,19.999984,19.999958,20.000007,19.999994,19.999985,20.000033,20.000065,20.000047,20.000014,19.999992,19.999999,20.000015,19.999949,20.000074,20.000005,19.9999,19.999973,19.999975,20.000014,20.000078,19.999958,19.999953,19.999962,20.000027,20.000006,19.999977,19.999937,19.999985,19.999965,19.999998,20.000009,19.999944,20.000001,20.0,20.069968,19.820819,20.0
19.999983,20.0001,19.99993,19.999895,20.000037,20.000058,20.000008,19.999984,20.000087,20.000091,19.999948,20.000102,20.000118,20.000031,19.999887,19.999969,19.999973,20.00006,20.000178,20.000229,20.000017,20.000016,20.000008,19.999962,19.999891,20.000026,19.999989,19.999968,20.000102,20.000199,20.000139,20.000039,19.999981,20.00001,20.000048,19.999849,20.000221,20.000027,19.99899,19.999918,19.999937,20.000051,20.000148,19.999885,19.999871,19.999913,20.000088,20.000032,19.999945,19.999822,19.999966,19.9999,19.999998,20.000036,19.999838,20.000014,20.0,20.19414,19.959774,20.0
19.999981,20.000174,19.999912,19.999829,20.000063,20.000087,20.000013,19.999975,20.000142,20.000121,19.999897,20.000176,20.000258,20.000127,19.999822,19.999952,20.000241,20.000418,20.029238,20.028816,20.000106,20.000111,20.000047,20.000012,19.99986,20.000061,19.999999,19.999972,20.000194,20.000343,20.000235,20.000064,19.99999,20.000052,20.000092,19.999764,20.000239,20.000106,19.996937,19.999928,19.999952,20.000152,19.999854,19.999931,19.999824,20.000048,20.000216,20.000186,19.999965,19.999771,20.000015,19.999913,20.000039,20.000129,19.999747,20.000046,20.0,20.044714,19.959768,20.0
19.999989,20.000247,19.999914,19.999768,20.000095,20.000107,20.000021,19.999966,20.000193,20.000135,19.999842,20.000248,20.000867,20.000723,20.000229,20.000422,20.00203,20.002337,20.043403,20.044275,20.0012,20.001357,20.013515,20.021034,19.99998,20.000189,20.000064,20.000018,20.000507,20.00062,20.000402,20.000136,20.000125,20.000218,20.000196,19.999731,20.000716,20.000543,19.995641,20.000558,20.000371,20.000706,19.999775,20.000714,20.00053,20.001633,20.001005,20.001286,20.000317,20.000215,20.000636,20.000925,20.000476,20.000846,19.999677,20.000113,20.0,19.877876,19.789242,20.0
20.000016,20.000325,19.999942,19.99972,20.000147,20.000129,20.000045,19.999967,20.000244,20.000146,19.999788,20.000321,20.004812,20.004869,20.004713,20.00557,20.012255,20.012695,20.040896,20.042494,20.384293,20.691794,20.569576,20.835484,20.001007,20.000894,20.000484,20.000259,20.002249,20.001847,20.001087,20.000478,20.001207,20.001081,20.000659,19.99991,20.003605,20.003435,19.998114,20.004865,20.002889,20.004016,20.002844,20.005949,20.00576,20.011042,20.005394,20.007774,20.002608,20.003664,20.004391,20.015993,20.003514,20.006122,19.999669,20.000266,20.0,20.0182,20.029905,20.0
20.000076,20.000409,20.000001,19.999685,20.00024,20.000158,20.000102,19.999981,20.0003,20.000154,19.999744,20.000397,20.012485,20.012981,20.013578,20.015821,20.030542,20.030959,20.077468,20.07603,20.515798,22.303863,21.364761,21.170371,20.002885,20.002138,20.001276,20.000761,20.005422,20.003981,20.002363,20.001182,20.003509,20.002972,20.001608,20.000422,20.008729,20.008825,20.003544,20.0128,20.007627,20.010054,20.007886,20.015479,20.014619,20.028062,20.013522,20.019158,20.007958,20.421746,20.015436,20.372516,20.009843,20.675891,19.99978,20.000589,20.0,20.40851,20.35561,20.0
20.000162,20.000493,20.00008,19.999655,20.000365,20.000189,20.000186,20.000002,20.00035,20.00016,19.999705,20.00047,20.022411,20.023748,20.024095,20.028907,20.053263,20.05236,20.113136,20.109205,20.700785,23.254948,21.236561,22.279555,20.00543,20.003654,20.002359,20.001488,20.009663,20.006597,20.004128,20.002212,20.007878,20.007957,20.003057,20.001278,20.014518,20.016037,20.009356,20.023111,20.013998,20.017849,20.013825,20.02754,20.02386,20.049021,20.023821,20.033121,20.278598,21.520412,20.834811,20.204893,20.374357,21.432408,20.000013,20.001066,20.0,20.293232,20.33398,20.0
20.00027,20.000575,20.000177,19.999633,20.000515,20.000223,20.000292,20.000027,20.000404,20.000168,19.999675,20.000543,20.034509,20.03732,20.035672,20.044264,20.07928,20.096221,20.156906,20.302482,20.698251,23.490674,21.403472,23.408869,20.008597,20.005388,20.003757,20.002432,20.01477,20.009517,20.006362,20.003569,21.050013,20.086147,20.005375,20.002613,20.019075,20.025231,20.015832,20.036341,20.022208,20.027422,20.023397,20.041318,20.037255,20.074348,20.035914,20.049044,21.986382,21.91087,21.829278,20.22299,21.961622,21.516159,20.000361,20.001672,20.0,20.42794,20.839353,20.0
20.000404,20.000669,20.00031,19.999628,20.000689,20.000262,20.000428,20.000066,20.000443,20.000174,19.999653,20.000615,20.048026,20.05277,20.048944,20.061259,20.104847,20.647141,20.204168,21.859828,20.807924,24.315335,21.710408,24.777246,20.012139,20.007355,20.005458,20.00357,20.020264,20.012743,20.009239,20.005358,23.096648,20.163596,21.345268,20.005241,19.99881,20.036038,19.983057,20.051157,20.032051,20.038209,20.505123,20.056034,20.076308,20.101244,20.067999,20.066382,23.623431,22.804895,21.462402,20.241424,23.142251,22.060443,20.000827,20.002716,20.0,21.617652,21.55232,20.0
20.000558,20.000758,20.000449,19.999627,20.000892,20.000308,20.000588,20.000107,20.000494,20.000185,19.999638,20.000684,20.061385,20.067766,20.064245,20.076953,20.133181,21.430218,20.244308,23.38866,20.887414,25.791059,22.214636,26.516395,20.015321,20.008864,20.007269,20.004702,20.025022,20.015354,20.012254,20.00762,23.637229,20.695624,23.135662,20.108117,19.967731,20.047294,19.835183,20.065081,20.042485,20.048045,23.234628,20.099752,20.967008,20.124284,21.082935,20.083873,25.469669,22.926504,22.301465,20.437595,23.822951,22.593427,20.001372,20.004115,20.0,22.517976,21.10545,20.0
20.000737,20.000849,20.000606,19.999632,20.001123,20.000357,20.000774,20.000153,20.000539,20.0002,19.999628,20.000754,20.075458,20.083924,20.083041,20.089833,20.168389,21.354541,20.267778,22.557943,21.334745,25.459196,21.731746,27.572662,20.018078,20.010211,20.009227,20.005898,20.029279,20.017894,20.016023,20.010472,24.548621,21.409351,23.831827,21.123399,20.048345,20.057768,19.862075,20.078459,20.052779,20.056568,23.131671,20.693734,21.997275,20.142554,22.177652,20.111576,25.54721,23.37661,24.338103,21.38208,24.495059,22.959721,20.002064,20.006571,20.0,18.777662,20.9791,20.0
20.000961,20.000947,20.000798,19.999649,20.001399,20.000417,20.000995,20.000209,20.000577,20.000215,19.999623,20.000826,20.096679,20.106519,20.108803,20.102721,20.231652,20.861232,20.276825,24.405435,23.805631,25.41214,22.494945,28.192326,20.020436,20.011497,20.011395,20.007331,20.033257,20.022909,20.055233,20.314737,25.887628,22.487534,25.248704,22.838286,20.311303,20.094519,20.168306,20.107224,20.062111,20.063305,22.990099,21.401179,21.940435,20.356735,21.757436,20.245955,26.627103,24.507328,24.910243,23.237079,24.995626,24.180289,20.003056,20.030714,20.0,19.07257,20.178119,20.0
20.001211,20.001048,20.001012,19.999672,20.001685,20.000479,20.001214,20.000267,20.0006,20.000233,19.999623,20.000895,20.130864,20.130843,20.164455,20.11732,21.306164,20.639622,20.465574,23.664962,27.378222,26.373749,23.956363,31.142517,20.02305,20.013131,20.013655,20.00902,20.039592,20.718146,20.244463,21.656331,26.806313,23.575465,26.837578,24.561776,20.591957,20.444907,20.945115,20.156534,20.068433,20.068957,24.977133,21.7412,22.719988,22.451917,21.411281,20.716939,28.418749,25.214911,25.103861,24.323178,26.2223,25.359863,20.004303,20.628001,20.0,19.985966,21.030036,20.0
20.001481,20.001153,20.001243,19.999705,20.00203,20.000554,20.001473,20.000336,20.000613,20.000255,19.999646,20.000963,20.165916,20.148336,20.224618,20.135976,23.036001,20.638467,22.285322,25.557105,29.029588,28.528275,25.069323,31.204694,20.026593,20.01562,20.015943,20.014658,20.072499,21.680907,20.616145,22.059935,27.715164,25.333069,27.446079,25.968884,21.191599,20.546247,21.349126,20.254711,20.072438,20.077142,26.38189,22.773734,24.146721,23.593327,21.869009,21.351445,29.18835,25.67017,26.405943,25.240004,28.16992,25.869525,20.005705,20.997368,20.0,19.938929,20.768408,20.0
20.001823,20.001285,20.001535,19.999773,20.00259,20.00067,20.001918,20.000452,20.000537,20.000295,19.99974,20.001038,20.164748,20.167685,20.201746,20.157376,22.574041,20.725848,22.994575,25.436224,30.249351,31.109359,26.271822,31.224773,20.031244,20.024237,20.018615,20.064972,20.362965,21.762257,21.392558,23.865897,28.411831,26.381641,28.799691,26.829129,21.285582,20.374383,21.148198,20.699408,20.077356,20.21225,27.926498,24.51394,26.748407,25.602247,23.718184,22.306301,30.300406,27.254477,28.409972,25.943819,29.680534,26.81644,20.007325,21.335956,20.0,19.429711,19.831701,20.0
20.002214,20.001467,20.001897,19.999898,20.003875,20.000875,20.00263,20.000652,20.169691,20.000378,20.000013,20.001141,20.165883,20.189436,20.306902,20.185137,22.640432,21.363088,23.513537,25.714086,30.267976,29.694949,28.000769,35.05881,20.03764,20.05682,20.022843,20.131413,22.248237,21.62368,22.401965,25.244664,28.721572,26.759005,29.129557,27.861958,21.028054,20.256982,20.828185,20.955908,20.106465,20.257783,28.977314,25.680103,28.688078,26.779474,25.469483,23.846549,31.667343,28.581226,29.573175,26.727199,30.170708,27.143504,20.007459,21.717987,20.0,19.112415,19.70547,20.0
20.002519,20.001718,20.002343,20.000109,20.008113,20.001231,20.003438,20.00099,22.988958,20.000543,20.001532,20.001299,20.217399,20.212846,20.883737,20.219795,24.019226,21.93212,24.992533,25.471483,32.2875,31.690554,29.057163,37.520172,20.046989,20.084739,20.029925,20.1321,24.162366,22.857625,23.05018,25.102234,29.287094,27.311707,29.618973,27.937639,20.763205,20.226761,20.30154,20.740351,20.429553,20.946078,30.84817,25.830475,30.570253,27.982179,28.20178,26.714074,33.499319,30.542956,31.329761,27.826493,31.09459,28.05804,20.007157,21.860912,20.0,17.205423,19.205793,20.0
20.002679,20.002069,20.00294,20.000443,20.022025,20.001891,20.004056,20.00157,24.475042,20.000977,20.053737,20.001635,20.288282,20.231505,21.387015,20.255484,24.961224,23.631421,26.355569,28.767657,32.653475,31.683865,30.028616,44.387383,20.300118,20.075137,20.091375,20.122898,24.841749,23.367199,24.072712,25.350686,30.03172,28.238153,30.318827,28.46605,20.719234,20.244651,20.246408,20.733778,20.711943,20.638072,32.869599,26.596686,30.063549,30.06339,29.877533,28.035594,32.907926,32.043844,32.692729,28.632957,32.703941,29.274611,20.008068,22.672882,20.0,17.974711,19.200677,20.0
20.003026,20.002507,20.003725,20.00093,20.032365,20.002947,20.004694,20.002503,23.728185,20.025726,20.617395,20.002446,20.393152,20.264714,21.52027,20.314251,26.172389,25.669491,27.433725,29.157266,32.765454,35.658429,32.499706,40.046786,20.893025,20.060938,20.525835,20.154575,27.39105,23.859725,25.920442,25.960036,31.470517,30.431439,30.072233,29.575311,20.644399,20.252735,20.561836,20.706835,21.246886,21.681212,32.489519,30.187443,31.069157,28.726406,31.579158,27.338526,34.541985,32.313593,33.753332,30.275065,32.174958,30.376578,20.00788,24.007638,20.0,20.328187,20.738536,20.0
20.003835,20.003026,20.004461,20.001618,20.157573,20.004281,20.005799,20.003903,23.646015,20.640006,21.347629,20.289239,20.526901,20.364001,22.175663,20.37159,31.510631,27.78288,28.265006,25.98352,36.888585,43.93156,33.866527,42.870713,20.72356,20.068552,20.776557,20.285406,29.47173,25.406849,28.771392,26.674908,32.624891,31.984228,31.671079,30.391541,20.535,20.243969,20.479897,20.503406,21.419763,23.946849,33.131945,28.792878,33.489676,26.919293,30.929912,27.615593,35.196565,34.335478,34.401297,32.593456,33.19939,33.944255,20.006989,24.325924,20.0,19.496069,20.064888,20.0
